TDATN,Allport Odbert source,Norman source,Saucier,G&N 1710,,,,,,,,
destructive,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
desultory,Allport Odbert - Column I,Norman - category 2; form 4,not included,not included,,,,,,,,
detached,Allport Odbert - Column I,Norman - category 3; form 5,not included,included,,,,,,,,
detailing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
detergent,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deteriorationist,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deteriorative,Allport Odbert - Column III,Norman - category 3; form 1,not included,not included,,,,,,,,
determined,Allport Odbert - Column I,not included,not included,included,,,,,,,,
deterministic,Allport Odbert - Column IV,Norman - category 3; form 2,not included,not included,,,,,,,,
deterred,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deterring,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
detestable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
detesting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dethroned,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
detonative,Allport Odbert - Column IV,Norman - category 3; form 3,not included,not included,,,,,,,,
detractive,Allport Odbert - Column IV,Norman - category 3; form 4,not included,not included,,,,,,,,
detractory,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
detrimental,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
detrimental,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
detrite,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
devancing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
devastating,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
develed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
developable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
developed,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
developing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deviating,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deviceful,Allport Odbert - Column III,Norman - category 3; form 5,not included,not included,,,,,,,,
devil-dodger,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
devil-may-care,not included,Norman - category 3; form 12,not included,included,,,,,,,,
deviling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
devilish,Allport Odbert - Column III,Norman - category 3; form 1,not included,included,,,,,,,,
devilizing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
devious,Allport Odbert - Column IV,Norman - category 2; form 2,not included,included,,,,,,,,
devirginator,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
devising,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
devitalized,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
devitalizing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
devoted,Allport Odbert - Column III,not included,included,not included,,,,,,,,
devotee,Allport Odbert - Column IV,Norman - category 3; form 3,not included,not included,,,,,,,,
devotionate,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
devouring,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
devout,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
devulgarized,Allport Odbert - Column IV,Norman - category 3; form 5,not included,not included,,,,,,,,
dewlapped,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dewy,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dexterous,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
diabolical,Allport Odbert - Column III,Norman - category 2; form 1,not included,not included,,,,,,,,
diabolifying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
diabolist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
dialectic,Allport Odbert - Column I,Norman - category 2; form 2,not included,not included,,,,,,,,
diamantiferous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
diamonded,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
diatribist,Allport Odbert - Column I,Norman - category 3; form 3,not included,not included,,,,,,,,
dicer,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dickering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dickey,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dictatorial,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
didactic,Allport Odbert - Column I,Norman - category 2; form 5,not included,not included,,,,,,,,
didapper,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
diddering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
diddling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dido,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
die-hard,Allport Odbert - Column I,Norman - category 3; form 1,not included,not included,,,,,,,,
dieter,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
difficult,Allport Odbert - Column III,not included,included,not included,,,,,,,,
difficulted,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
diffident,Allport Odbert - Column I,Norman - category 2; form 2,not included,not included,,,,,,,,
diffuse,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
diffusive,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
digesting,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
digger,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
digladiating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dignified,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
dignifying,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
digressive,Allport Odbert - Column I,Norman - category 2; form 4,not included,included,,,,,,,,
dijudiciating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dike-louper,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dilapidated,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dilapidating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dilatant,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dilated,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dilating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dilatory,Allport Odbert - Column I,Norman - category 2; form 5,not included,not included,,,,,,,,
dilettant,Allport Odbert - Column I,Norman - category 2; form 1,not included,not included,,,,,,,,
dilettantish,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
diligent,Allport Odbert - Column I,Norman - category 2; form 2,not included,included,,,,,,,,
dilled,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dilling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dillydallying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
diluted,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dim,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dim-sighted,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
diminishing,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
diminutive,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dimmish,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dimpled,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dindling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
ding-dong,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
dinged,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dinging,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dingy,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dink,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
dinkum,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
dinky,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
Dionysiac,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
diplomaed,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
diplomatic,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
diplomatizing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
Dircaean,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
direct,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
directing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
direful,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dirgeful,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dirling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dirted,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dirty,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dirtying,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
disabled,Allport Odbert - Column IV,not included,included,not included,,,,,,,,
